"","X.4","X","Year","Region","FedOk","Gini","R.P.10","Dec_coef","Infl_all","Coef_infl","Unfood_infl","Food_infl","Service_infl","Unempl","GRP","Avinc_mrot","Sh_city","Pre_sch","Av_sub_nom","Av_sub_real","GRP2","Av5_infl","Av4_infl","Av3_infl","Av2_infl","YAv_sub_nom","YAv_sub_real","TAv_sub_nom","TAv_sub_real","G_s","avGRP08","Sd_infl","Infl2","G1","G2","G3","G4","G5"
"295",295,714,2012,"Республика Адыгея",3,0.397,14,NA,6.550484227,1.065504842,3.841807291,6.712349511,11.09194541,8.1,1.472629,3.702320538,0.469,0.495,434.6,286.6827027,2.168636171641,10.18619803,9.902311952,8.231381549,8.087622201,5215.2,3440.1924324,0.4346,0.2866827027,0.358,1.4943492,NA,42.9088436081758,5.7,10.4,15.4,22.7,45.8
"296",296,715,2013,"Республика Адыгея",3,0.389,13.2,NA,6.905798589,1.069057986,5.018823699,6.727372922,10.09694805,7.9,1.590963,3.556676273,0.47,0.557,447.56,277.3425916,2.531163267369,9.223615498,7.808687432,7.572794616,6.348652962,5370.72,3328.1110992,0.44756,0.2773425916,0.3566860407,1.4943492,NA,47.6900541518344,5.8,10.6,15.6,22.8,45.2
"297",297,716,2014,"Республика Адыгея",3,0.381,13.8,NA,11.43887934,1.114388793,7.656312684,17.06490144,8.888165143,8.6,1.688801,3.970831833,0.47,0.609,478.12,266.0503578,2.852048817601,7.627501676,7.405656484,6.5340448,6.727993546,5737.44,3192.6042936,0.47812,0.2660503578,0.5220427645,1.4943492,NA,130.847960555079,5.7,10.5,15.4,22.8,45.6
"298",298,717,2015,"Республика Адыгея",3,0.378,12.2,NA,12.593846,1.12593846,14.61282574,13.21257499,8.033124476,8.8,1.872111,3.796479464,0.471,0.6422,514.58,253.6030606,3.504799596321,8.200450843,7.739634085,8.275735361,9.148808467,6174.96,3043.2367272,0.51458,0.2536030606,0.5000451362,1.4943492,NA,158.604957071716,6.1,10.9,15.8,22.9,44.3
"299",299,718,2016,"Республика Адыгея",3,0.381,12.4,NA,5.238426772,1.052384268,7.2235003,3.295858971,5.879908117,9,1.997779,3.805931657,0.473,0.6593319428,479.09,224.0683521,3.991120932841,8.693438497,9.339483992,10.28528015,12.0148741,5749.08,2688.8202252,0.47909,0.2240683521,0.5114542723,1.4943492,NA,27.4411150456063,6,10.9,15.7,22.9,44.5
"300",300,719,2017,"Республика Адыгея",3,0.381,12.4,6,1.717122729,1.017171227,1.629350811,-0.434755341,5.539457362,8.8,2.192594,3.290266667,0.473,0.6628836504,598.46,273.0090028,4.807468448836,8.506682478,9.001318136,9.708913088,8.854027106,7181.52,3276.1080336,0.59846,0.2730090028,0.5071639455,1.4943492,NA,2.94851046644841,6,10.9,15.7,22.9,44.5
"301",301,734,2008,"Республика Калмыкия",3,0.372,NA,NA,16.10160784,1.161016078,9.696280741,20.79251343,16.89700757,15.8,0.714507,NA,0.439,0.4922988889,192.99,170.3629725,0.510520253049,11.10066939,12.53181308,11.7717842,12.19173596,2315.88,2044.35567,0.19299,0.1703629725,0.5531591631,1.4243308,0.891201981720317,259.261775033149,6.3,11.1,15.9,22.9,43.8
"302",302,735,2009,"Республика Калмыкия",3,0.373,11.7,NA,7.173420096,1.071734201,9.669677886,4.028808699,11.36953009,16.5,0.825868,NA,0.44,0.4876357332,194.61,157.9023593,0.682057953424,13.23688129,12.83886165,13.48017322,15.36672264,2335.32,1894.8283116,0.19461,0.1579023593,0.5679738734,1.4243308,0.842991943417413,51.4579558736966,6.3,11.1,15.9,22.9,43.8
"303",303,736,2010,"Республика Калмыкия",3,0.373,11.8,NA,12.56569438,1.125656944,10.08173219,16.93311726,6.478315602,14.8,0.843594,NA,0.441,0.485,263.43,196.4956696,0.711650836836,11.68230661,11.86951752,12.56828949,11.54822451,3161.16,2357.9480352,0.26343,0.1964956696,0.5591179025,1.4243308,0.765075795083221,157.896675251564,6.2,11.1,15.9,22.9,43.9
"304",304,737,2011,"Республика Калмыкия",3,0.373,11.8,NA,7.178210431,1.071782104,6.373743773,5.844957976,13.67970061,14.2,1.018732,2.039122402,0.441,0.486,429.44,301.9063534,1.037814887824,12.00840759,12.5676407,11.88635514,9.836471412,5153.28,3622.8762408,0.42944,0.3019063534,0.55,1.4243308,0.897369612936735,51.5267049917172,6.2,11.1,15.9,22.9,43.9
"305",305,738,2012,"Республика Калмыкия",3,0.382,12.6,NA,7.631161511,1.076311615,7.114317571,7.61851823,8.902807973,13.1,1.257739,2.209824333,0.444,0.509,498.3,328.7022336,1.581907392121,11.46849855,10.69027593,8.94313837,9.838926067,5979.6,3944.4268032,0.4983,0.3287022336,0.546,1.4243308,0.474279424202888,58.2346260069678,6,10.8,15.7,22.9,44.6
"306",306,739,2013,"Республика Калмыкия",3,0.377,12.1,NA,7.807181055,1.078071811,7.957932132,6.8813487,10.67905836,12.5,1.454208,2.173064361,0.447,0.531,555.7,344.3544511,2.114720907264,10.07157517,8.613652429,9.098018061,7.404447195,6668.4,4132.2534132,0.5557,0.3443544511,0.5335268143,1.4243308,0.696963154613563,60.9520760255509,6.1,11,15.8,22.9,44.2
"307",307,740,2014,"Республика Калмыкия",3,0.326,12,NA,11.069944,1.11069944,8.561799804,13.79953478,8.345746344,10.9,1.659499,2.232265034,0.449,0.574,594.52,330.8212555,2.753936931001,8.451876956,8.773866997,7.538524372,7.71913533,7134.24,3969.855066,0.59452,0.3308212555,0.7027500469,1.4243308,1.09495087754767,122.543660163136,6.2,11,15.8,22.9,44.1
"308",308,741,2015,"Республика Калмыкия",3,0.367,11.2,NA,11.3720716,1.113720716,15.13977249,10.21699536,6.349474577,10.7,1.857989,2.385582565,0.451,0.6006,651.55,321.1066775,3.452123124121,9.229253412,8.410711041,8.824686166,9.426402493,7818.6,3853.28013,0.65155,0.3211066775,0.6611651527,1.4243308,1.14487097327801,129.324012475527,6.4,11.2,16,23,43.4
"309",309,742,2016,"Республика Калмыкия",3,0.361,10.8,NA,5.348858377,1.053488584,7.255765466,4.747186003,2.888326649,10.6,2.206628,2.313185042,0.452,0.6351703792,603.52,282.263733,4.869207130384,8.996615799,9.456017376,10.07115248,11.22090521,7242.24,3387.164796,0.60352,0.282263733,0.6316680025,1.4243308,0.380942809674135,28.6102859372031,6.5,11.4,16.2,23,42.9
"310",310,743,2017,"Республика Калмыкия",3,0.326,9.5,4.9,3.307678246,1.033076782,3.679935201,3.330465169,2.416371194,10,2.404544,1.964,0.453,0.6584286736,798.57,364.2963596,5.781831847936,8.621971335,8.871095681,9.228062001,8.318606888,9582.84,4371.5563152,0.79857,0.3642963596,0.6553821788,1.4243308,0.755350109471621,10.9407353790616,7,11.9,16.5,23.1,41.5
"311",311,782,2008,"Краснодарский край",3,0.392,16.1,NA,13.06299418,1.130629942,8.116781026,18.51362963,12.34628284,4.7,1.551036,NA,0.528,0.5592481255,223.67,197.4459094,2.405712673296,10.95679396,11.33775726,11.06482442,10.43032589,2684.04,2369.3509128,0.22367,0.1974459094,0.2058056588,2.7936043,0.572450871254466,170.641816946714,5.2,9.9,14.9,22.6,47.4
"312",312,783,2009,"Краснодарский край",3,0.398,15.7,NA,9.785580483,1.097855805,8.407731762,6.729335364,18.90843858,7.2,1.655551,NA,0.528,0.5599354178,321.7,261.0204459,2.740849113601,11.68068564,11.56103157,11.30099924,12.19304284,3860.4,3132.2453508,0.3217,0.2610204459,0.2089644935,2.7936043,0.683634080159522,95.7575853892705,5.3,10,15,22.6,47.1
